///1
time:1.25576,vol:0
time:1.42581,vol:27.875
time:1.57433,vol:28.221
time:1.69649,vol:28.28
time:1.8289,vol:28.362
time:1.96697,vol:28.41
time:2.07604,vol:28.41
time:2.228,vol:28.411
time:2.33654,vol:28.415
time:2.47877,vol:28.459
time:2.5957,vol:28.459
time:2.69581,vol:28.499
time:2.83802,vol:28.5
time:2.96717,vol:28.566
time:3.09839,vol:28.568
time:3.2283,vol:28.612
time:3.3527,vol:28.612
time:3.4898,vol:28.615
time:3.58241,vol:28.617
time:3.70191,vol:28.617
time:3.86365,vol:28.62
time:3.95623,vol:28.625
time:4.10555,vol:28.625
time:4.21311,vol:28.625
time:4.32234,vol:28.625
time:4.46206,vol:28.625
time:4.55487,vol:28.625
time:4.71868,vol:28.625
time:4.82845,vol:28.625
time:4.95033,vol:28.625
time:5.06619,vol:28.789
time:5.16223,vol:29.147
time:5.31147,vol:29.613
time:5.42274,vol:31.052
time:5.51686,vol:32.459
time:5.66921,vol:36.548
time:5.77097,vol:40.389
time:5.90855,vol:52.75
time:6.02546,vol:70.387
time:6.11977,vol:70.935
time:6.26342,vol:70.957
time:6.36974,vol:71.439
time:6.47142,vol:78.124
time:6.62853,vol:80.804
time:6.73605,vol:86.896
time:6.86352,vol:87.708
time:6.99241,vol:87.934
time:7.09096,vol:87.937
time:7.24097,vol:87.947
time:7.34786,vol:87.948
time:7.47667,vol:87.948
time:7.59667,vol:87.989
time:7.69475,vol:87.989
time:7.83709,vol:90.086
time:7.94937,vol:90.168
time:8.07581,vol:90.185
time:8.19727,vol:90.196
time:8.30494,vol:90.273
time:8.43136,vol:90.277
time:8.54993,vol:90.283
time:8.64181,vol:90.292
time:8.7657,vol:90.297
time:8.8754,vol:90.299
time:8.97332,vol:90.307
time:9.10652,vol:90.326
time:9.21884,vol:90.349
time:9.34431,vol:90.351
time:9.50941,vol:90.36
time:9.60253,vol:91.641
time:9.73627,vol:97.659
time:9.84083,vol:100.524
time:9.93893,vol:107.936
time:10.0914,vol:113.6
time:10.1934,vol:116.524
time:10.2874,vol:118.987
time:10.4336,vol:123.621
time:10.5356,vol:126.326
time:10.6686,vol:128.769
time:10.7826,vol:130.599
time:10.8849,vol:132.125
time:11.0316,vol:132.942
time:11.1426,vol:133.219
time:11.2367,vol:133.237
time:11.381,vol:133.276
time:11.4821,vol:133.306
time:11.6085,vol:133.34
time:11.7231,vol:133.357
time:11.8246,vol:133.412
time:11.9721,vol:133.453
time:12.0894,vol:133.532
time:12.2108,vol:133.844
time:12.3231,vol:134.04
time:12.4239,vol:134.997
time:12.5548,vol:136.577
time:12.665,vol:137.483
time:12.7652,vol:140.128
time:12.8992,vol:142.43
time:13.0004,vol:144.08
time:13.0969,vol:146.174
time:13.2484,vol:148.555
time:13.3589,vol:150.35
time:13.4834,vol:151.709
time:13.6418,vol:153.234
time:13.7392,vol:154.694
time:13.876,vol:155.891
time:13.9803,vol:156.865
time:14.085,vol:158.03
time:14.2226,vol:159.626
time:14.3228,vol:160.187
time:14.4161,vol:161.705
time:14.5587,vol:163
time:14.6502,vol:163.558
time:14.7734,vol:164.791
time:14.9059,vol:165.929
time:15.0044,vol:167.566
time:15.1571,vol:169.465
time:15.2602,vol:170.307
time:15.3706,vol:172.658
time:15.5044,vol:174.461
time:15.6022,vol:177.431
time:15.7217,vol:179.587
time:15.838,vol:180.575
time:15.9411,vol:182.287
time:16.1156,vol:184.497
time:16.2319,vol:186.107
time:16.3615,vol:188.419
time:16.4845,vol:190.491
time:16.5758,vol:191.193
time:16.7377,vol:193.622
time:16.8458,vol:194.173
time:16.9509,vol:195.396
time:17.0867,vol:196.248
time:17.1799,vol:196.451
time:17.2991,vol:196.868
time:17.424,vol:197.009
time:17.518,vol:197.089
time:17.6711,vol:197.168
time:17.7765,vol:197.221
time:17.8702,vol:197.251
time:18.004,vol:197.266
time:18.1138,vol:197.38
time:18.2299,vol:197.498
time:18.3486,vol:197.695
time:18.4503,vol:197.759
time:18.5962,vol:197.937
time:18.7048,vol:198.084
time:18.8363,vol:198.181
time:18.9948,vol:198.374
time:19.088,vol:198.438
time:19.2552,vol:198.51
time:19.3565,vol:198.615
time:19.4924,vol:198.699
time:19.601,vol:198.741
time:19.738,vol:198.785
time:19.9035,vol:198.792
time:20.0029,vol:198.793
time:20.1202,vol:198.793
time:20.2349,vol:198.793
time:20.3706,vol:198.793
time:20.5505,vol:198.798
time:20.642,vol:198.825
time:20.7836,vol:200.355
time:20.8971,vol:200.973
time:21.0264,vol:201.266
time:21.1419,vol:202.024
time:21.2475,vol:202.33
time:21.34,vol:202.915
time:21.4803,vol:203.03
time:21.5874,vol:203.043
time:21.676,vol:203.089
time:21.8215,vol:203.114
time:21.9121,vol:203.145
time:22.0681,vol:203.297
time:22.1752,vol:203.444
time:22.2803,vol:204.41
time:22.4191,vol:205.489
