time:1,vol30.713
time:2,vol41.827
time:3,vol60.522
time:4,vol80.47
time:5,vol91.643
time:6,vol105.081
time:7,vol118.51
time:8,vol128.094
time:9,vol146.774
time:10,vol160.685
time:11,vol166.653
time:12,vol181.214
time:13,vol192.527
time:14,vol200.608
time:15,vol218.596
time:16,vol226.081
time:17,vol229.837
time:18,vol241.338
time:19,vol250.358
time:20,vol253.169
time:21,vol255.781
time:22,vol257.541
time:23,vol281.385
time:24,vol296.111
time:25,vol310.319
time:26,vol318.687
time:27,vol330.564
time:28,vol334.383
time:29,vol337.295
time:30,vol337.987
time:31,vol347.73
time:32,vol350.786
time:33,vol351.507
time:34,vol352.615
time:35,vol353.471
time:36,vol356.091
time:37,vol358.438
time:38,vol365.449
time:39,vol377.64
time:40,vol384.361
time:41,vol395.673
time:42,vol408.088
time:43,vol421.121
time:44,vol429.816
time:45,vol441.362
time:46,vol456.343
time:47,vol457.343
time:48,vol458.682
time:49,vol461.341
time:50,vol471.082
time:51,vol484.586
time:52,vol497.516
time:53,vol505.421
time:54,vol508.764
time:55,vol517.492
time:56,vol522.846
time:57,vol527.283
time:58,vol532
time:59,vol532.974
time:60,vol534.082
time:61,vol534.66
time:62,vol536.761
time:63,vol541.624
time:64,vol554.085
time:65,vol564.725
time:66,vol574.549
time:67,vol588.423
time:68,vol601.295
time:69,vol606.254
time:70,vol611.809
time:71,vol619.772
time:72,vol620.652
time:73,vol623.416
time:74,vol628.186
time:75,vol630.346
time:76,vol637.375
time:77,vol638.425
time:78,vol639.445
time:79,vol641.674
time:80,vol641.805
time:81,vol642.114
time:82,vol648.515
time:83,vol662.605
time:84,vol666.035
time:85,vol669.264
time:86,vol669.634
time:87,vol670.342
time:88,vol670.528
time:89,vol671.583
time:90,vol677.889
time:91,vol683.288
time:92,vol685.869
time:93,vol686.227
time:94,vol686.285
time:95,vol689.145
time:96,vol708.904
time:97,vol724.373
time:98,vol730.949
time:99,vol736.023
time:100,vol743.42
time:101,vol755.409
time:102,vol759.936
time:103,vol760.262
time:104,vol764.607
time:105,vol773.21
time:106,vol774.555
time:107,vol775.995
time:108,vol777.386
time:109,vol778.776
time:110,vol778.992
time:111,vol779.161
time:112,vol779.85
time:113,vol780.69
time:114,vol784.982
time:115,vol786.014
time:116,vol786.613
time:117,vol786.761
time:118,vol787.062
time:119,vol788.187
time:120,vol789.307
time:121,vol789.578
time:122,vol789.926
time:123,vol790.284
time:124,vol796.683
time:125,vol799.063
