time:1.50733,vol:0
time:1.61747,vol:16.578
time:1.71836,vol:17.755
time:1.81755,vol:18.337
time:1.91742,vol:19.406
time:2.06752,vol:20.035
time:2.16934,vol:20.596
time:2.3173,vol:20.951
time:2.46748,vol:21.402
time:2.56987,vol:21.716
time:2.7173,vol:21.941
time:2.86744,vol:22.007
time:2.97306,vol:22.009
time:3.11711,vol:22.009
time:3.21748,vol:22.009
time:3.36995,vol:22.042
time:3.54521,vol:22.044
time:3.66737,vol:22.081
time:3.77021,vol:22.113
time:3.91885,vol:22.146
time:4.03818,vol:22.146
time:4.1695,vol:22.183
time:4.31755,vol:22.184
time:4.4177,vol:22.185
time:4.5443,vol:22.213
time:4.66779,vol:22.216
time:4.77076,vol:22.216
time:4.9173,vol:22.216
time:5.03699,vol:22.216
time:5.17231,vol:22.216
time:5.31749,vol:22.216
time:5.4702,vol:22.216
time:5.5727,vol:22.216
time:5.71742,vol:22.216
time:5.86748,vol:22.216
time:5.97248,vol:22.216
time:6.12023,vol:22.216
time:6.26933,vol:22.216
time:6.37338,vol:22.216
time:6.54066,vol:22.216
time:6.66751,vol:22.217
time:6.77679,vol:22.217
time:6.91768,vol:22.217
time:7.04734,vol:22.217
time:7.16806,vol:22.217
time:7.31755,vol:22.217
time:7.46745,vol:22.217
time:7.57265,vol:22.217
time:7.72068,vol:22.217
time:7.86747,vol:22.217
time:7.98045,vol:22.217
time:8.11788,vol:22.217
time:8.21755,vol:22.217
time:8.32039,vol:22.217
time:8.46752,vol:22.217
time:8.57195,vol:22.217
time:8.71735,vol:22.217
time:8.81934,vol:22.217
time:8.97924,vol:22.242
time:9.11743,vol:22.39
time:9.22167,vol:22.529
time:9.32153,vol:22.768
time:9.46752,vol:23.136
time:9.57073,vol:23.633
time:9.71772,vol:24.967
time:9.87098,vol:26.157
time:9.96938,vol:27.014
time:10.1194,vol:28.575
time:10.2682,vol:29.276
time:10.3737,vol:29.625
time:10.5186,vol:30.039
time:10.6676,vol:30.526
time:10.771,vol:30.786
time:10.9174,vol:31.28
time:11.0673,vol:31.582
time:11.1739,vol:32.258
time:11.3241,vol:32.934
time:11.4745,vol:34.036
time:11.5719,vol:36.301
time:11.7205,vol:38.745
time:11.8673,vol:41.372
time:11.9729,vol:44.086
time:12.1184,vol:45.439
time:12.2174,vol:45.551
time:12.3229,vol:46.571
time:12.469,vol:47.829
time:12.6177,vol:48.465
time:12.788,vol:49.591
time:12.9491,vol:52.311
time:13.0855,vol:56.622
time:13.2292,vol:57.412
time:13.3682,vol:57.518
time:13.5512,vol:59.729
time:13.6717,vol:61.16
time:13.826,vol:62.839
time:13.93,vol:65.22
time:14.0864,vol:68.295
time:14.2269,vol:69.722
time:14.3682,vol:70.409
time:14.5307,vol:71.632
time:14.681,vol:72.066
time:14.8344,vol:72.871
time:14.9737,vol:73.69
time:15.137,vol:74.214
time:15.2895,vol:74.787
time:15.4413,vol:75.243
time:15.5393,vol:75.931
time:15.6844,vol:76.246
time:15.8238,vol:76.546
time:15.9418,vol:76.706
time:16.076,vol:76.982
time:16.2413,vol:77.504
time:16.3715,vol:78.716
time:16.527,vol:80.507
time:16.6676,vol:82.087
time:16.7684,vol:82.837
time:16.8724,vol:85.335
time:16.97,vol:85.983
time:17.1174,vol:89.048
time:17.2683,vol:90.765
time:17.4188,vol:91.837
time:17.5199,vol:93.151
time:17.6676,vol:94.512
time:17.7753,vol:95.108
time:17.9177,vol:96.086
time:18.0182,vol:96.738
time:18.1318,vol:97.279
time:18.2686,vol:98.184
time:18.373,vol:99.169
time:18.5202,vol:100.034
time:18.6677,vol:101.036
time:18.7698,vol:101.558
time:18.9175,vol:102.76
time:19.0181,vol:103.264
time:19.1201,vol:103.942
time:19.2678,vol:104.761
time:19.379,vol:105.635
time:19.5178,vol:106.163
time:19.6695,vol:106.97
time:19.769,vol:107.737
time:19.9174,vol:108.335
time:20.0236,vol:109.052
time:20.1707,vol:110.083
time:20.3287,vol:110.791
time:20.4678,vol:111.861
time:20.574,vol:112.924
time:20.718,vol:113.883
time:20.8182,vol:114.221
time:20.9175,vol:115.305
time:21.0219,vol:116.028
time:21.1742,vol:117.93
time:21.3235,vol:119.076
time:21.4217,vol:119.796
time:21.5716,vol:121.442
